C1-C6	6	Mouser	80-C0603C104K5R
C7,C8,C9	3	Mouser	80-C0603C105Z8V
C10,C11	2	Mouser	74-293D106X0010A2TE3
I/O	1	Mouser	571-1-1634688-0
IC1	1	Mouser	579-PIC24F64GA002ISS
IC2	1	Mouser	895-FT232RL
IC3	1	Mouser	595-CD4066BPWR
J1	1	Mouser	649-10033526-N3212LF
L1	1	Mouser	81-BLM21P331SG
LED1-LED2,LED2A-LED2,LED3A-LED2,LED4A,LED4A	8	Mouser	645-598-8110-107F
R1,R5	2	Mouser	71-CRCW0603-2.0K-E3
R2,R3,R4,R6	4	Mouser	71-CRCW0603-1.0K-E3
RN1,RN2,RN3	3	Mouser	660-CN1J4KTTD103J
VR1,VR2	2	Mouser	579-MCP1801T-3302IOT
VR3	1	Mouser	579-MCP1801T-5002IOT
C1-C6	6	Farnell	1288255
C7,C8,C9	3	Farnell	1759398
C10,C11	2	Farnell	2333094
I/O	1	Farnell	8395918
IC1	1	Farnell	2315916
IC2	1	Farnell	1146032
IC3	1	Farnell	2342308
J1	1	Farnell	9786473
L1	1	Farnell	1515663
LED1-LED2,LED2A-LED2,LED3A-LED2,LED4A,LED4A	8	Farnell	1465992
R1,R5	2	Farnell	1469764
R2,R3,R4,R6	4	Farnell	1469740
RN1,RN2,RN3	3	Farnell	1703824
VR1,VR2	2	Farnell	1578370
VR3	1	Farnell	1578371
C1-C6	6	Newark	97H5226
C7,C8,C9	3	Newark	83H1582
C10,C11	2	Newark	75M2895
I/O	1	Newark	39K0556
IC1	1	Newark	40M1449
IC2	1	Newark	91K9918
IC3	1	Newark	74C8103
J1	1	Newark	99W2918
L1	1	Newark	73M9169
LED1-LED2,LED2A-LED2,LED3A-LED2,LED4A,LED4A	8	Newark	22M3026
R1,R5	2	Newark	73M9169
R2,R3,R4,R6	4	Newark	52K8015
RN1,RN2,RN3	3	Newark	50B2282
VR1,VR2	2	Newark	54M4830
VR3	1	Newark	08N6445
C1-C6	6	Digikey	399-5089-1-ND
C7,C8,C9	3	Digikey	399-3216-1-ND
C10,C11	2	Digikey	718-1118-1-ND
I/O	1	Digikey	A104906-ND
IC1	1	Digikey	PIC24FJ64GA002-I/SS-ND
IC2	1	Digikey	768-1007-1-ND
IC3	1	Digikey	296-14123-1-ND
J1	1	Digikey	WM3895CT-ND
L1	1	Digikey	490-5988-1-ND
LED1-LED2,LED2A-LED2,LED3A-LED2,LED4A,LED4A	8	Digikey	350-2038-1-ND
R1,R5	2	Digikey	541-2.00KSCT-ND
R2,R3,R4,R6	4	Digikey	541-1.00KSCT-ND
RN1,RN2,RN3	3	Digikey	Y9103CT-ND
VR1,VR2	2	Digikey	MCP1801T-3302I/OTCT-ND  
VR3	1	Digikey	MCP1801T-5002I/OTDKR-ND  
C1-C6	6	RS	801-5347
C7,C8,C9	3	RS	
C10,C11	2	RS	
I/O	1	RS	473-8254
IC1	1	RS	400-750
IC2	1	RS	406580P
IC3	1	RS	662-2669P
J1	1	RS	515-1995
L1	1	RS	724-1545
LED1-LED2,LED2A-LED2,LED3A-LED2,LED4A,LED4A	8	RS	419-209
R1,R5	2	RS	724-1545
R2,R3,R4,R6	4	RS	678-9875
RN1,RN2,RN3	3	RS	522-5412
VR1,VR2	2	RS	6694939P
VR3	1	RS	6694948P
C1-C6	6	Arrow	C0603C104K5RACTU 
C7,C8,C9	3	Arrow	C0603C105Z8VACTU
C10,C11	2	Arrow	293D106X0010A2TE3 
I/O	1	Arrow	1-1634688-0
IC1	1	Arrow	PIC24FJ64GA002-I/SS
IC2	1	Arrow	FT232RL-TUBE
IC3	1	Arrow	CD4066BPWR**MULT1 
J1	1	Arrow	1734035-1
L1	1	Arrow	BLM21PG331SN1D
LED1-LED2,LED2A-LED2,LED3A-LED2,LED4A,LED4A	8	Arrow	5988110107F
R1,R5	2	Arrow	BLM21PG331SN1D
R2,R3,R4,R6	4	Arrow	CRCW06031K00FKEA
RN1,RN2,RN3	3	Arrow	CN1J4KTTD103J
VR1,VR2	2	Arrow	MCP1801T-3302I/OT 
VR3	1	Arrow	MCP1801T-5002I/OT
C1-C6	6	Allied	70095460
C7,C8,C9	3	Allied	70095468
C10,C11	2	Allied	70212794
I/O	1	Allied	70287232
IC1	1	Allied	
IC2	1	Allied	70069389
IC3	1	Allied	
J1	1	Allied	70266924
L1	1	Allied	
LED1-LED2,LED2A-LED2,LED3A-LED2,LED4A,LED4A	8	Allied	
R1,R5	2	Allied	
R2,R3,R4,R6	4	Allied	70201168
RN1,RN2,RN3	3	Allied	70155480
VR1,VR2	2	Allied	70048280
VR3	1	Allied	70048281
